model,term,coef,std_err,p_value,ci_low,ci_high,nobs,rsquared,dep_mean,note,error
m0_post2017_baseline,C(cause_group)[T.劳务合同纠纷],-0.3321741748583576,0.02068727873153529,5.112407163346316e-58,-0.3727204961103082,-0.291627853606407,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.劳动争议],-0.15832857021008725,0.06490986555504984,0.014719551601847953,-0.28554956893932193,-0.03110757148085258,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.劳动合同纠纷],-0.1578872709793099,0.10484935863133985,0.13210601683136794,-0.36338823769885986,0.04761369574024005,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.占有物返还纠纷],-3.30181530800466e-16,7.178881516860348e-17,4.238213188728095e-06,-4.708850230237315e-16,-1.8947803857720042e-16,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.危险驾驶罪],-2.4971762577726216e-15,4.0793135577773245e-16,9.266363036583931e-10,-3.2967070232615727e-15,-1.6976454922836706e-15,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.发起人责任纠纷],-0.08695630648093343,0.21989263716177118,0.6925116098663755,-0.5179379557835389,0.34402534282167196,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.受贿罪],5.365254054428967e-16,1.8869283773790304e-16,0.004463784133208051,1.6669423933594638e-16,9.06356571549847e-16,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.合伙企业纠纷],-0.19243079907635194,0.129862772158022,0.13839322542745602,-0.4469571554386059,0.062095557285902075,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.合伙协议纠纷],-0.1517254882514488,0.06543841927743746,0.02041676056692358,-0.2799824332404578,-0.0234685432624398,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.合伙合同纠纷],0.2113401398728567,0.09071353159274594,0.019819199354937152,0.03354488504063832,0.3891353947050751,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
